video_id,channel_id,channel_title,title,description,published_at,category_id,tags,view_count,like_count,comment_count,duration,definition,caption,video_age_days,duration_seconds,is_short,collection_min_age_days,collection_max_age_days,channel_subscriber_count,channel_total_view_count,channel_video_count,channel_published_at,channel_country,query_used,data_extracted_at
PKklCnJJMzc,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,XIAOMI 17T Series | Toda la INFORMACIÓN en DIRECTO,"💰🎁🏆 Aquí encontrarás las MEJORES OFERTAS: 
https://t.me/topesdegama

🔥 Descubre Compra Smartphone: https://bit.ly/396mYAP
Los móviles con mejor cámara del mercado: https://comprasmartphone.com/listas/telefonos-mejor-camara
Los mejores móviles calidad/precio
https://comprasmartphone.com/listas/mejores-moviles-calidad-precio

✔️🔔 Suscríbete a Topes de Gama: http://goo.gl/LuuzTb
Facebook: https://www.facebook.com/topesdgama
Instagram: https://www.instagram.com/topesdegama/
Twitter: https://twitter.com/TopesdGama",2026-05-28T13:43:21Z,28,"['Topesdegama', 'TDG', 'iPhone', 'samsung', 'tecnologia', 'teléfonos baratos', 'S26', 's26 ultra']",9243,408,13,PT1H50M41S,hd,false,6,6641,False,6,30,3850000,1308167713,7931,2010-07-26T14:31:22Z,ES,Topes de Gama,2026-06-03T13:51:32.785454+00:00
n7LTrzPN4As,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,Xiaomi lo ha vuelto a hacer: ¡Este teléfono va a romper el mercado! 🚀,"El Xiaomi 17T Pro se acaba de presentar y ya se postula como el teléfono más equilibrado del año por una razón muy simple: ofrece especificaciones brutales a un precio demoledor. En este análisis a fondo ponemos a prueba su rendimiento y su renovado apartado fotográfico para contarte si realmente vale la pena

💰🎁🏆 Aquí encontrarás las MEJORES OFERTAS: 
https://t.me/topesdegama

🔥 Descubre Compra Smartphone: https://bit.ly/396mYAP
Los móviles con mejor cámara del mercado: https://comprasmartphone.com/listas/telefonos-mejor-camara
Los mejores móviles calidad/precio
https://comprasmartphone.com/listas/mejores-moviles-calidad-precio

✔️🔔 Suscríbete a Topes de Gama: http://goo.gl/LuuzTb
Facebook: https://www.facebook.com/topesdgama
Instagram: https://www.instagram.com/topesdegama/
Twitter: https://twitter.com/TopesdGama",2026-05-28T13:00:34Z,28,"['Topesdegama', 'TDG', 'xiaomi17tpro', 'topesdegama', 'xiaomi2026', 'techreview', 'smartphones', 'gamadecolor', 'camarasleica']",61101,3313,107,PT1M34S,hd,false,6,94,True,6,30,3850000,1308167713,7931,2010-07-26T14:31:22Z,ES,Topes de Gama,2026-06-03T13:51:32.785481+00:00
foos6BYSxJ8,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,¡Filtrado el iPhone 20 ANIVERSARIO! El cambio de diseño más radical de Apple 📱🔥,"Apple prepara el que promete ser el iPhone más innovador que jamás hayan lanzado. La compañía es totalmente consciente de que necesita dar un puñetazo sobre la mesa para volver a sorprender al mercado , y este dispositivo conmemorativo será la clave para romper de manera radical con la línea de diseño de los últimos años.

💰🎁🏆 Aquí encontrarás las MEJORES OFERTAS: 
https://t.me/topesdegama

🔥 Descubre Compra Smartphone: https://bit.ly/396mYAP
Los móviles con mejor cámara del mercado: https://comprasmartphone.com/listas/telefonos-mejor-camara
Los mejores móviles calidad/precio
https://comprasmartphone.com/listas/mejores-moviles-calidad-precio

✔️🔔 Suscríbete a Topes de Gama: http://goo.gl/LuuzTb
Facebook: https://www.facebook.com/topesdgama
Instagram: https://www.instagram.com/topesdegama/
Twitter: https://twitter.com/TopesdGama",2026-05-27T21:00:35Z,28,"['Topesdegama', 'TDG']",61840,1842,85,PT1M,hd,false,6,60,True,6,30,3850000,1308167713,7931,2010-07-26T14:31:22Z,ES,Topes de Gama,2026-06-03T13:51:32.785490+00:00
qOaPT5EsVAc,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,¿El nuevo FERRARI es en realidad el APPLE CAR cancelado? 🏎️🍏,"El nuevo Ferrari Luce ha desatado la locura en el mundo del motor y la tecnología. La cúpula directiva de Apple descartó un ambicioso proyecto de movilidad tras años de rumores , pero su icónico diseñador ha llevado ese concepto futurista directamente a la firma de Maranello. No estamos ante un coche deportivo común, sino ante la herencia directa del diseño minimalista de Apple aplicada a un motor extremo.

💰🎁🏆 Aquí encontrarás las MEJORES OFERTAS: 
https://t.me/topesdegama

🔥 Descubre Compra Smartphone: https://bit.ly/396mYAP
Los móviles con mejor cámara del mercado: https://comprasmartphone.com/listas/telefonos-mejor-camara
Los mejores móviles calidad/precio
https://comprasmartphone.com/listas/mejores-moviles-calidad-precio

✔️🔔 Suscríbete a Topes de Gama: http://goo.gl/LuuzTb
Facebook: https://www.facebook.com/topesdgama
Instagram: https://www.instagram.com/topesdegama/
Twitter: https://twitter.com/TopesdGama",2026-05-27T19:00:09Z,28,"['Topesdegama', 'TDG']",13897,447,50,PT1M2S,hd,false,6,62,True,6,30,3850000,1308167713,7931,2010-07-26T14:31:22Z,ES,Topes de Gama,2026-06-03T13:51:32.785495+00:00
v9Oe38ldeBU,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,Xiaomi 17T PRO: todo lo que necesitas saber antes de comprarlo,"💥Xiaomi 17T Pro ya ha llegado: precio, especificaciones y si merece la pena a 899,99 euros. Hoy es el día del lanzamiento oficial y te contamos todo.
Pantalla AMOLED de 6,83” a 144 Hz, chip Dimensity 9500, batería de 7.000 mAh y cámaras Leica. ¿Justifica el precio frente a la competencia?
▶ Si te interesa el nuevo Xiaomi 17T Pro, y quieres apoyarnos*, puedes encontrarlo aquí: https://amzn.to/4v9zjuD

*El enlace referido nos genera una pequeña comisión, pero no supone incremento en el precio para vosotros. Pagáis lo mismo y nos apoyáis a seguir manteniendo el canal
#Xiaomi #Xiaomi17TPro #Android #MovilesAndroid #Tecnología

❤️ SI TE HA GUSTADO ▶ LIKE+COMPARTE Y...
▶ y no te pierdas NADA... SÍGUENOS en:
YouTube clipset https://cutt.ly/7jMMD1o 
YouTube clipset SHORTS https://cutt.ly/LI6yAaY
Instagram (fotos, stories y REELS) https://www.instagram.com/clipset/
Twitter (noticias) http://www.twitter.com/clipset
TikTok (noticias, trucos y cancamusa tech) https://www.tiktok.com/@clipset
Telegram (noticias y ofertas): https://t.me/clipset
Blog clipset (análisis) http://clipset.com
Facebook (de todo un poco) https://www.facebook.com/clipset
Tienda de recomendados (compras) https://www.amazon.es/shop/clipset",2026-05-28T13:25:05Z,28,"['clipset', 'carolina denia']",17217,956,41,PT9M27S,hd,true,6,567,False,6,30,2520000,504222573,3304,2006-12-22T12:47:09Z,ES,Clipset,2026-06-03T13:51:35.459904+00:00
qFe4FzuxuSY,UCYkoAtIMi6oFG_8SO5YrauQ,clipset,😎❤️ una SORPRESA para sus OJOS  Ray-Ban Meta 2,#tech #tupuntodevista #TuPuntodeVista #optica2000 @optica2000es,2026-05-27T21:01:22Z,28,[],2720,117,3,PT59S,hd,false,6,59,True,6,30,2520000,504222573,3304,2006-12-22T12:47:09Z,ES,Clipset,2026-06-03T13:51:35.459936+00:00
bY8e9Oj6L1g,UCHhfu5p0zydyM-_nw3IJvig,Urban Tecno,"Xiaomi 17T Pro unboxing, ¿el mejor Xiaomi euro a euro? #xiaomi17tpro #unboxing #urbantecno",,2026-05-28T13:00:02Z,28,['urban tecno'],15724,821,18,PT1M34S,hd,false,6,94,True,6,30,2130000,371846929,3020,2016-01-18T17:44:00Z,ES,Urban Tecno,2026-06-03T13:51:37.992979+00:00
NZ6euLjyah8,UCHhfu5p0zydyM-_nw3IJvig,Urban Tecno,Episodio 39 | DEPORTIVO ALÉ! + FITBIT AIR + MOTILLOS ⚽🏍️,"El equipo que usamos para hacer los directos ⬇️⬇️⬇️
Elgato Cable XLR 👉 https://amzn.to/45fR7Kz
Elgato Wave DX 👉 https://amzn.to/3J7KHop
Elgato Wave Mic Arm 👉 https://amzn.to/46VAXrc
Elgato Stream Deck Neo 👉 https://amzn.to/4loUtQk
CREATIVE Live! 👉 https://amzn.to/4fAt1he

#urbantecno 

El equipo de Rubén 
📹 Nikon Z f 👉 https://amzn.to/3RtpMwK 👈 
📹 Nikkor 17-28 mm f/2.8👉 https://amzn.to/4cepPGl 👈 
📹 Nikon 70-180 mm f/2.8 👉 https://amzn.to/3R17ItI 👈 
📹 SIRUI Aurora 85 mm f/1.4 👉 https://amzn.to/41WlBzJ 
💾 SanDisk Extreme Pro 1 TB 👉 https://amzn.to/43wjkwj 👈 
🎙️ Comica CVM-VM20 👉 https://amzn.to/44eyFSi 👈 
💡Softbox Neewer 90 cm 👉 https://amzn.to/4iUjWka 👈 
💡Foco Neewer CB60B 👉 https://amzn.to/4i2YUi7 👈 
💻 Samsung Galaxy Book4 Ultra 👉 https://amzn.to/3Rx2eHg 👈 
📱 OPPO Find X8 Pro 👉 https://amzn.to/3FSmK2y 👈 
🎧 Samsung Galaxy Buds3 Pro 👉 https://amzn.to/42iZNgJ 👈 
🎧 JBL Tour One M2 👉 https://amzn.to/4iOwglR 👈 
⌚ Samsung Galaxy Watch Ultra 👉 https://amzn.to/4hUetsc 👈 

💻 Visita nuestra WEB: https://urbantecno.com/ 💻 ️ 
🔥 Más vídeos en TIKTOK: https://www.tiktok.com/@urbantecno 🔥 
📝 Únete a TELEGRAM: https://t.me/urbantecno 📝 ️ 
🦜 Más info en TWITTER: https://twitter.com/UrbanTecno 🦜",2026-05-28T03:46:33Z,28,"['urban tecno', 'oppo find x9 pro', 'vivo x300 pro', 'oppo find x9 pro vs vivo x300 pro', 'vivo x300 pro vs oppo find x9 pro']",775,46,1,PT1H23M36S,hd,false,6,5016,False,6,30,2130000,371846929,3020,2016-01-18T17:44:00Z,ES,Urban Tecno,2026-06-03T13:51:37.993005+00:00
JEcLjmWvLk8,UCHhfu5p0zydyM-_nw3IJvig,Urban Tecno,¿Las motos del futuro? Probamos TODOS los Can-Am 3-Wheel,,2026-05-27T19:00:09Z,28,['urban tecno'],1424,90,0,PT2M30S,hd,false,6,150,True,6,30,2130000,371846929,3020,2016-01-18T17:44:00Z,ES,Urban Tecno,2026-06-03T13:51:37.993017+00:00
HYNNswPcDAM,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,YA NO QUIERO UN FERRARI!!!,,2026-05-27T20:40:08Z,24,[],1367202,65390,3069,PT1M53S,hd,false,6,113,True,6,30,9100000,2062774484,2700,2010-12-06T19:09:17Z,ES,Tecnonauta,2026-06-03T13:51:38.801371+00:00
2dJJokCRU2Q,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,MI PRIMER Y ÚLTIMO SAMSUNG!!!,,2026-05-27T17:00:09Z,24,[],620503,25503,580,PT35S,hd,false,6,35,True,6,30,9100000,2062774484,2700,2010-12-06T19:09:17Z,ES,Tecnonauta,2026-06-03T13:51:38.801395+00:00
